time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/03/21/17:29:33.091087,13412,1616315373,90061902,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:33.190726,13413,1616315373,190068006,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:33.291132,13414,1616315373,290335893,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:33.390762,13415,1616315373,390029907,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:33.490111,13416,1616315373,489850997,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:33.590573,13417,1616315373,589917898,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:33.690698,13418,1616315373,690124034,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:33.791134,13419,1616315373,790064096,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:33.890277,13420,1616315373,889949083,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:33.990896,13421,1616315373,989981889,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:34.090443,13422,1616315374,89998960,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:34.190777,13423,1616315374,189943075,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:34.290768,13424,1616315374,290024995,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
