time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/03/21/16:02:30.574066,502,1616310150,563791535,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02077265828847885, -4.105944633483887, 0.04375041276216507, -0.039201732724905014, -0.1720615178346634, 0.12448680400848389)","(-0.34514567255973816, 0.19174760580062866, -0.9587380290031433, 0.4218447208404541, -0.19174760580062866, 0.3834952116012573)","(0.000244140625, -0.000732421875, -0.00067138671875, 0.00091552734375, -0.00067138671875, 0.00054931640625)"
2021/03/21/16:02:30.594159,503,1616310150,583696345,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020804615691304207, -4.105934143066406, 0.04379302263259888, -0.03922303766012192, -0.1720508635044098, 0.12448680400848389)","(0.19174760580062866, 0.3067961633205414, 0.07669904083013535, -0.2684466540813446, 0.0, 0.34514567255973816)","(0.000244140625, -0.00048828125, -0.00018310546875, -0.00067138671875, -0.0003662109375, 0.0008544921875)"
2021/03/21/16:02:30.614583,504,1616310150,603652408,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105966091156006, 0.043782368302345276, -0.039201732724905014, -0.1720508635044098, 0.12445484846830368)","(-0.03834952041506767, -0.3067961633205414, -0.19174760580062866, 0.3067961633205414, 0.07669904083013535, -0.11504856497049332)","(-0.000732421875, 0.00018310546875, 0.00030517578125, -0.00018310546875, -0.00054931640625, -6.103515625e-05)"
2021/03/21/16:02:30.634517,505,1616310150,623572159,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.1059770584106445, 0.043782368302345276, -0.039201732724905014, -0.172072172164917, 0.12446549534797668)","(-0.2684466540813446, -0.49854376912117004, -0.23009712994098663, 0.23009712994098663, -0.34514567255973816, 0.0)","(0.000244140625, -0.00018310546875, 0.00030517578125, -0.00018310546875, -0.00067138671875, 0.000244140625)"
2021/03/21/16:02:30.654546,506,1616310150,643687319,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.1059770584106445, 0.04380367323756218, -0.03921238332986832, -0.172072172164917, 0.12445484846830368)","(-0.19174760580062866, -0.49854376912117004, 0.2684466540813446, 0.0, -0.5368933081626892, -0.2684466540813446)","(-0.000732421875, -0.000732421875, -0.0001220703125, 0.00146484375, 0.0010986328125, 0.000244140625)"
2021/03/21/16:02:30.674380,507,1616310150,663560181,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02077265828847885, -4.105987548828125, 0.043771713972091675, -0.03921238332986832, -0.17202956974506378, 0.12446549534797668)","(-0.34514567255973816, -0.7286409139633179, -0.46019425988197327, 0.03834952041506767, 0.6135923266410828, 0.0)","(-0.000732421875, 0.00128173828125, -0.00018310546875, -6.103515625e-05, -0.001220703125, 0.000244140625)"
2021/03/21/16:02:30.694040,508,1616310150,683728713,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105955600738525, 0.04382498189806938, -0.03924434259533882, -0.1720828264951706, 0.12447615712881088)","(0.0, -0.11504856497049332, 0.6902913451194763, -0.6902913451194763, -0.575242817401886, 0.07669904083013535)","(0.001708984375, -0.00018310546875, 0.0003662109375, 0.0003662109375, 0.0010986328125, 0.0008544921875)"
2021/03/21/16:02:30.714185,509,1616310150,703689043,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02077265828847885, -4.105955600738525, 0.043771713972091675, -0.039201732724905014, -0.172072172164917, 0.12444419413805008)","(-0.3067961633205414, -0.11504856497049332, -0.3834952116012573, 0.11504856497049332, -0.49854376912117004, -0.34514567255973816)","(0.001220703125, -0.00048828125, -0.00067138671875, -0.00018310546875, -0.00042724609375, -0.00030517578125)"
2021/03/21/16:02:30.734103,510,1616310150,723686064,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.105966091156006, 0.04379302263259888, -0.03922303766012192, -0.1720402091741562, 0.12445484846830368)","(-0.19174760580062866, -0.2684466540813446, 0.11504856497049332, -0.19174760580062866, 0.4218447208404541, -0.23009712994098663)","(-0.000732421875, -0.00128173828125, 0.00030517578125, -0.0001220703125, -0.00054931640625, -6.103515625e-05)"
2021/03/21/16:02:30.754186,511,1616310150,743697119,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02077265828847885, -4.105934143066406, 0.04376106709241867, -0.03923369199037552, -0.172072172164917, 0.12446549534797668)","(-0.3067961633205414, 0.3067961633205414, -0.6135923266410828, -0.34514567255973816, -0.23009712994098663, -0.19174760580062866)","(0.000244140625, -0.00079345703125, 0.0008544921875, -6.103515625e-05, 0.00048828125, -0.00091552734375)"
2021/03/21/16:02:30.774149,512,1616310150,763689423,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020804615691304207, -4.1059770584106445, 0.043782368302345276, -0.03924434259533882, -0.1720402091741562, 0.12444419413805008)","(0.1533980816602707, -0.34514567255973816, -0.19174760580062866, -0.575242817401886, 0.34514567255973816, -0.49854376912117004)","(0.000244140625, -0.00018310546875, -0.000244140625, 0.00042724609375, 0.00030517578125, -0.0006103515625)"
2021/03/21/16:02:30.794189,513,1616310150,783769348,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105966091156006, 0.04379302263259888, -0.03922303766012192, -0.1720508635044098, 0.12446549534797668)","(-0.11504856497049332, -0.19174760580062866, 0.03834952041506767, -0.11504856497049332, 0.0, -0.07669904083013535)","(0.000244140625, -0.00103759765625, -0.00018310546875, -0.001220703125, -0.0003662109375, 0.0010986328125)"
2021/03/21/16:02:30.814272,514,1616310150,803665955,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105966091156006, 0.04381432756781578, -0.03919107839465141, -0.1720615178346634, 0.12447615712881088)","(0.0, -0.23009712994098663, 0.3834952116012573, 0.3834952116012573, -0.23009712994098663, 0.1533980816602707)","(0.000244140625, -0.00018310546875, 0.0003662109375, -6.103515625e-05, 0.00018310546875, -0.0006103515625)"
2021/03/21/16:02:30.834237,515,1616310150,823609197,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105955600738525, 0.043782368302345276, -0.03921238332986832, -0.1720615178346634, 0.12445484846830368)","(0.03834952041506767, -0.11504856497049332, -0.23009712994098663, -0.07669904083013535, -0.11504856497049332, -0.19174760580062866)","(0.00079345703125, -0.00048828125, 0.00030517578125, -0.0006103515625, 0.00146484375, -0.00146484375)"
2021/03/21/16:02:30.853958,516,1616310150,843768001,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02081526815891266, -4.105955600738525, 0.04379302263259888, -0.039201732724905014, -0.17202956974506378, 0.12445484846830368)","(0.49854376912117004, -0.1533980816602707, 0.11504856497049332, 0.34514567255973816, 0.575242817401886, -0.2684466540813446)","(-0.000244140625, -0.00042724609375, 0.00030517578125, -6.103515625e-05, 0.00030517578125, -0.0006103515625)"
2021/03/21/16:02:30.874190,517,1616310150,863686678,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02081526815891266, -4.105955600738525, 0.043782368302345276, -0.03921238332986832, -0.172072172164917, 0.12450810521841049)","(0.4218447208404541, 0.07669904083013535, -0.2684466540813446, 0.1533980816602707, -0.34514567255973816, 0.9970875382423401)","(0.000244140625, 0.000732421875, 0.0008544921875, 0.0009765625, -0.0003662109375, 0.00054931640625)"
2021/03/21/16:02:30.894172,518,1616310150,883564216,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.105934143066406, 0.04379302263259888, -0.03922303766012192, -0.1720508635044098, 0.12448680400848389)","(-0.2684466540813446, 0.49854376912117004, -0.1533980816602707, -0.19174760580062866, 0.1533980816602707, 0.46019425988197327)","(0.001220703125, -0.00103759765625, 0.0003662109375, -6.103515625e-05, -0.00054931640625, -0.00030517578125)"
2021/03/21/16:02:30.914163,519,1616310150,903724831,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02077265828847885, -4.105944633483887, 0.04380367323756218, -0.03921238332986832, -0.1720508635044098, 0.12450810521841049)","(-0.3834952116012573, 0.11504856497049332, 0.23009712994098663, 0.0, 0.19174760580062866, 0.9970875382423401)","(0.000244140625, 0.00048828125, 0.00030517578125, -0.00018310546875, 0.00048828125, 0.0010986328125)"
2021/03/21/16:02:30.934200,520,1616310150,923730253,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105934143066406, 0.04375041276216507, -0.03921238332986832, -0.17202956974506378, 0.12449745833873749)","(0.0, 0.46019425988197327, -0.8053399324417114, 0.11504856497049332, 0.4218447208404541, 0.6135923266410828)","(-0.00018310546875, -0.00018310546875, -0.000244140625, -0.0001220703125, -0.00054931640625, -0.0006103515625)"
2021/03/21/16:02:30.953927,521,1616310150,943654540,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105966091156006, 0.043782368302345276, -0.039201732724905014, -0.172072172164917, 0.12449745833873749)","(-0.03834952041506767, -0.2684466540813446, -0.19174760580062866, 0.19174760580062866, -0.4218447208404541, 0.6519418358802795)","(-0.000732421875, 0.00128173828125, -0.00018310546875, -0.001220703125, -0.0003662109375, -0.0006103515625)"
2021/03/21/16:02:30.974489,522,1616310150,963659515,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.105966091156006, 0.043782368302345276, -0.03923369199037552, -0.1720508635044098, 0.12442289292812347)","(-0.23009712994098663, -0.4218447208404541, -0.2684466540813446, -0.4218447208404541, 0.0, -0.9587380290031433)","(-0.000244140625, -0.00103759765625, -0.000244140625, -6.103515625e-05, 0.00018310546875, 0.000244140625)"
2021/03/21/16:02:30.994102,523,1616310150,983563873,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020804615691304207, -4.105955600738525, 0.043782368302345276, -0.039201732724905014, -0.1720402091741562, 0.12448680400848389)","(0.2684466540813446, -0.07669904083013535, -0.23009712994098663, 0.1533980816602707, 0.11504856497049332, 0.49854376912117004)","(-0.000244140625, -0.00103759765625, 0.00030517578125, -0.00018310546875, 0.00091552734375, 0.00079345703125)"
2021/03/21/16:02:31.014186,524,1616310151,3739659,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02077265828847885, -4.105955600738525, 0.043782368302345276, -0.03921238332986832, -0.1720615178346634, 0.12450810521841049)","(-0.6519418358802795, 0.0, -0.23009712994098663, 0.07669904083013535, -0.03834952041506767, 0.9203885197639465)","(0.001220703125, 0.00128173828125, 0.00030517578125, -0.00018310546875, -0.00054931640625, -0.00030517578125)"
2021/03/21/16:02:31.034208,525,1616310151,23726696,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105955600738525, 0.043782368302345276, -0.03921238332986832, -0.172072172164917, 0.12445484846830368)","(-0.07669904083013535, 0.03834952041506767, -0.2684466540813446, -0.07669904083013535, -0.3834952116012573, -0.1533980816602707)","(0.00079345703125, -0.00048828125, -0.00018310546875, -0.00018310546875, -0.00054931640625, 0.000244140625)"
2021/03/21/16:02:31.054090,526,1616310151,43722894,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020804615691304207, -4.106008529663086, 0.043771713972091675, -0.03921238332986832, -0.1720508635044098, 0.12446549534797668)","(0.23009712994098663, -1.3805826902389526, -0.49854376912117004, 0.07669904083013535, 0.11504856497049332, 0.0)","(-0.000244140625, 0.0009765625, 0.00030517578125, -0.00067138671875, 0.00054931640625, 0.0008544921875)"
