time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/03/21/17:50:03.504812,1665,1616316603,503638982,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.514600,1666,1616316603,513629913,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.524703,1667,1616316603,523669958,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.534510,1668,1616316603,533654928,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.544410,1669,1616316603,543601036,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.554218,1670,1616316603,553581953,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.564562,1671,1616316603,563592910,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.574035,1672,1616316603,573565006,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.584711,1673,1616316603,583981990,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.594267,1674,1616316603,593596935,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.603968,1675,1616316603,603565931,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.614138,1676,1616316603,613884925,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.623641,1677,1616316603,623430013,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.633738,1678,1616316603,633440017,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.643691,1679,1616316603,643456935,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.653666,1680,1616316603,653474092,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.663703,1681,1616316603,663438081,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.673775,1682,1616316603,673465013,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.683837,1683,1616316603,683506011,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.693846,1684,1616316603,693509101,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.704115,1685,1616316603,703568935,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.713619,1686,1616316603,713417053,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
